repo_id,repo_name,month,cumulative_stars,cumulative_forks,monthly_downloads,new_issues,new_pull_requests,monthly_commits,star_growth_rate
R00656,hyper-search-rs,2025-06,100394,7010,55255,72,21,114,0.0167
R00656,hyper-search-rs,2025-07,104694,28302,52882,85,22,108,0.0275
R00656,hyper-search-rs,2025-08,107162,26215,146767,67,17,124,0.0135
R00755,quick-audio-base,2024-04,40277,6776,109322,38,30,45,0.1367
R00755,quick-audio-base,2024-05,43378,9925,118928,28,21,29,0.0733
R00755,quick-audio-base,2024-05,48250,13422,40641,21,19,32,0.0783
R00755,quick-audio-base,2024-06,51077,6878,139696,36,15,26,0.0065
R00755,quick-audio-base,2024-07,54333,5718,156967,24,29,25,0.084
R00755,quick-audio-base,2024-08,57903,8964,194958,26,20,37,0.1471
R00755,quick-audio-base,2024-09,58445,12186,182126,31,22,32,0.0411
R00755,quick-audio-base,2024-10,67811,18696,147545,29,26,25,0.0023
R00755,quick-audio-base,2024-11,66956,7730,186027,43,26,31,0.1339
R00755,quick-audio-base,2024-12,71799,3752,231711,27,28,34,0.0294
R00755,quick-audio-base,2025-01,73737,18370,164243,24,23,36,0.0044
R00755,quick-audio-base,2025-02,79459,21986,101402,33,27,46,0.124
R00755,quick-audio-base,2025-03,79680,18713,268439,29,25,38,0.0124
R00755,quick-audio-base,2025-04,88750,6619,333637,37,19,28,0.0749
R00755,quick-audio-base,2025-05,93222,5363,154456,32,27,29,0.0869
R00755,quick-audio-base,2025-06,92791,8558,172025,27,24,35,0.0017
R00755,quick-audio-base,2025-07,96038,19433,288137,34,25,37,0.1489
R00755,quick-audio-base,2025-08,104195,23100,247694,35,15,37,0.0012
R00513,llm-stack,2024-04,39259,4865,1297384,129,50,414,0.0921
R00513,llm-stack,2024-05,43165,12617,697433,151,65,370,0.0373
R00513,llm-stack,2024-05,46779,7137,1482590,142,69,420,0.1328
R00513,llm-stack,2024-06,48304,6063,990739,137,54,406,-0.0087
R00513,llm-stack,2024-07,54677,15570,1639060,155,61,401,0.0796
R00513,llm-stack,2024-08,55547,11627,1259224,154,47,430,0.0711
R00513,llm-stack,2024-09,60971,8350,1191685,138,49,395,0.1435
R00513,llm-stack,2024-10,64159,15837,691704,122,57,401,0.1234
R00513,llm-stack,2024-11,63316,12611,2410672,131,60,376,0.1154
R00513,llm-stack,2024-12,68118,4402,1721803,151,58,377,-0.0058
R00513,llm-stack,2025-01,77493,20614,2810580,129,46,407,-0.0039
R00513,llm-stack,2025-02,75038,21134,2000759,140,61,391,0.0537
R00513,llm-stack,2025-03,77105,16406,3043783,123,48,423,0.0926
R00513,llm-stack,2025-04,77621,6639,1537391,131,52,422,0.0776
R00513,llm-stack,2025-05,81785,22288,4132355,128,63,396,0.0671
R00513,llm-stack,2025-06,89670,25328,3528700,129,58,398,0.0764
R00513,llm-stack,2025-07,89977,7260,2843591,140,57,382,-0.0095
R00513,llm-stack,2025-08,104876,8970,3559476,135,60,420,0.0808
R00315,WEQ,2024-04,35186,7101,201037,60,37,449,0.0673
R00315,WEQ,2024-05,38505,2108,185461,75,52,452,0.0232
R00315,WEQ,2024-05,41864,3695,185262,66,55,445,0.0169
R00315,WEQ,2024-06,45519,12032,377551,49,51,463,0.0411
R00315,WEQ,2024-07,46410,4694,89476,59,44,485,0.023
R00315,WEQ,2024-08,49005,4815,450378,64,56,486,0.0468
R00315,WEQ,2024-09,53841,14706,443238,65,50,451,0.0529
R00315,WEQ,2024-10,58241,15309,320751,62,44,468,0.1393
R00315,WEQ,2024-11,60942,16727,188312,66,43,473,0.0332
R00315,WEQ,2024-12,64650,8149,472917,62,46,432,0.0851
R00315,WEQ,2025-01,69479,3835,159853,62,40,436,0.0182
R00315,WEQ,2025-02,67826,15744,458749,49,48,441,0.1042
R00315,WEQ,2025-03,69329,19121,415157,67,43,443,0.0436
R00315,WEQ,2025-04,77248,13270,149570,66,45,435,0.139
R00315,WEQ,2025-05,77771,4706,239034,49,41,446,0.0345
R00315,WEQ,2025-06,81172,18695,438778,70,46,487,0.0622
R00315,WEQ,2025-07,90950,11882,815129,62,58,424,0.0107
R00315,WEQ,2025-08,91844,7302,341294,55,57,410,0.1156
R00122,flash-infer-wave,2024-04,34536,2354,27368,216,29,196,0.0787
R00122,flash-infer-wave,2024-05,37238,6212,83737,202,24,207,-0.0195
R00122,flash-infer-wave,2024-05,40179,4808,26524,196,22,214,0.1019
R00122,flash-infer-wave,2024-06,42580,3622,34649,232,31,199,0.0497
R00122,flash-infer-wave,2024-07,45428,10103,34894,191,31,204,0.0973
R00122,flash-infer-wave,2024-08,50868,9031,121052,240,34,208,0.0776
R00122,flash-infer-wave,2024-09,55016,13480,110510,189,24,211,0.0753
R00122,flash-infer-wave,2024-10,55472,6748,39373,226,29,212,0.1489
R00122,flash-infer-wave,2024-11,56597,12885,49152,207,33,184,0.073
R00122,flash-infer-wave,2024-12,65429,18264,150644,180,24,197,0.1223
R00122,flash-infer-wave,2025-01,67606,8012,88655,202,22,208,0.1194
R00122,flash-infer-wave,2025-02,68229,7347,130950,219,31,201,0.1349
R00122,flash-infer-wave,2025-03,71928,16226,166444,241,29,181,0.1144
R00122,flash-infer-wave,2025-04,77772,21239,47667,206,28,180,0.0946
R00122,flash-infer-wave,2025-05,72504,9530,52048,222,30,204,0.011
R00122,flash-infer-wave,2025-06,74158,21281,43859,198,34,220,0.0224
R00122,flash-infer-wave,2025-07,76590,7737,81197,178,26,197,0.0886
R00122,flash-infer-wave,2025-08,92204,16703,116932,224,19,221,0.0796
R00334,datastack,2024-04,33216,9371,120431,120,86,305,0.1194
R00334,datastack,2024-05,36518,5760,309787,117,91,297,0.1381
R00334,datastack,2024-05,39486,9635,87956,134,86,291,0.0159
R00334,datastack,2024-06,41146,7287,253883,118,104,270,0.0609
R00334,datastack,2024-07,45249,7080,190306,132,118,327,0.0205
R00334,datastack,2024-08,46704,13966,90776,132,95,294,0.1445
R00334,datastack,2024-09,53346,8666,420236,121,79,306,0.0193
R00334,datastack,2024-10,53134,7613,506533,141,106,292,0.0303
R00334,datastack,2024-11,55018,10648,535685,126,106,293,0.0681
R00334,datastack,2024-12,56396,16829,463414,125,74,330,0.0374
R00334,datastack,2025-01,62800,14088,288277,106,93,271,0.0392
R00334,datastack,2025-02,65852,8130,270989,142,90,304,0.0533
R00334,datastack,2025-03,63320,13394,477491,111,106,296,0.1178
R00334,datastack,2025-04,75026,17992,349473,107,95,304,0.0056
R00334,datastack,2025-05,73769,13736,713535,123,91,281,0.057
R00334,datastack,2025-06,70873,11429,768618,133,77,287,0.0108
R00334,datastack,2025-07,79528,15667,494382,140,87,299,-0.015
R00334,datastack,2025-08,86827,25444,586115,141,82,306,0.113
R01070,lite-serve,2024-04,32172,9554,259251,102,26,282,0.027
R01070,lite-serve,2024-05,34627,5844,117120,111,21,290,0.1054
R01070,lite-serve,2024-05,38516,3896,467071,98,40,350,0.0172
R01070,lite-serve,2024-06,40545,12098,340718,106,22,264,0.0107
R01070,lite-serve,2024-07,42700,11615,289209,106,17,286,0.0352
R01070,lite-serve,2024-08,45851,11266,546407,114,32,279,0.0181
R01070,lite-serve,2024-09,47389,4555,182167,107,21,291,0.004
R01070,lite-serve,2024-10,50903,3099,347761,84,22,300,0.0458
R01070,lite-serve,2024-11,57440,7756,295881,99,24,277,0.0391
R01070,lite-serve,2024-12,57381,10870,657247,96,30,288,0.0706
R01070,lite-serve,2025-01,57703,9080,488853,111,32,288,0.0863
R01070,lite-serve,2025-02,61598,9027,434764,107,30,270,0.0176
R01070,lite-serve,2025-03,65114,11655,622335,113,37,280,0.1169
R01070,lite-serve,2025-04,67729,16032,977824,113,29,258,-0.0121
R01070,lite-serve,2025-05,69460,13664,505113,110,25,261,0.1209
R01070,lite-serve,2025-06,72477,9036,523294,115,23,269,0.1498
R01070,lite-serve,2025-07,72941,20926,1055805,138,21,302,0.0103
R01070,lite-serve,2025-08,84643,10563,393828,102,22,311,0.0553
R00564,VSGON,2024-04,30773,5913,21257,87,73,186,0.1277
R00564,VSGON,2024-05,33213,8999,23816,69,67,176,0.0324
R00564,VSGON,2024-05,35730,5252,38079,85,86,152,0.0032
R00564,VSGON,2024-06,38981,7006,40160,93,66,165,0.0741
R00564,VSGON,2024-07,40745,9288,52005,94,66,168,0.1189
R00564,VSGON,2024-08,42665,5250,16895,89,65,176,0.0268
R00564,VSGON,2024-09,48519,14240,36704,58,77,191,0.1343
R00564,VSGON,2024-10,51979,12843,47577,76,70,165,0.0576
R00564,VSGON,2024-11,53278,5855,47798,73,70,180,0.0918
R00564,VSGON,2024-12,53562,13661,41350,91,66,185,0.0406
R00564,VSGON,2025-01,55998,11386,46558,76,68,215,0.1353
R00564,VSGON,2025-02,59999,8667,39727,85,69,176,0.0566
R00564,VSGON,2025-03,61614,4271,61266,90,72,167,0.1113
R00564,VSGON,2025-04,63477,6220,57149,78,73,180,-0.0008
R00564,VSGON,2025-05,65453,19022,114981,71,68,185,-0.0101
R00564,VSGON,2025-06,71320,20643,67320,82,67,180,0.026
R00564,VSGON,2025-07,69792,8920,78677,62,88,153,-0.0095
R00564,VSGON,2025-08,80239,19056,97258,87,76,173,0.0655
R01055,KVHT20,2024-04,30506,2203,36887,43,7,81,0.0079
R01055,KVHT20,2024-05,33477,2777,16163,56,8,95,0.1019
R01055,KVHT20,2024-05,35404,5842,32272,57,16,105,0.0209
R01055,KVHT20,2024-06,38856,7978,20340,61,14,91,0.0223
R01055,KVHT20,2024-07,41158,11994,40866,52,14,91,0.0815
R01055,KVHT20,2024-08,42588,8885,54769,80,16,81,0.0808
R01055,KVHT20,2024-09,47988,9781,72962,71,10,85,-0.0128
R01055,KVHT20,2024-10,47250,3615,77221,52,14,83,-0.0033
R01055,KVHT20,2024-11,54849,7362,122776,46,14,88,0.0597
R01055,KVHT20,2024-12,55714,15780,88295,59,15,72,0.149
R01055,KVHT20,2025-01,53776,12054,120409,62,16,73,0.0535
R01055,KVHT20,2025-02,61582,11258,35437,64,14,89,0.0726
R01055,KVHT20,2025-03,63315,17007,119226,60,20,99,0.0079
R01055,KVHT20,2025-04,67268,14868,68855,56,9,92,0.0596
R01055,KVHT20,2025-05,67179,7271,85439,59,16,94,0.1435
R01055,KVHT20,2025-06,69490,19130,150072,61,8,83,0.0837
R01055,KVHT20,2025-07,78853,12962,180875,60,9,67,0.0052
R01055,KVHT20,2025-08,75346,17893,107810,50,12,90,-0.0094
R00012,next-data-kit,2024-04,30358,4659,30706,161,42,85,0.066
R00012,next-data-kit,2024-05,32880,7624,47096,158,46,87,0.0704
R00012,next-data-kit,2024-05,36111,5527,59780,158,39,92,-0.0003
R00012,next-data-kit,2024-06,37411,8043,56664,156,42,110,-0.0098
R00012,next-data-kit,2024-07,41620,4588,43720,146,47,101,0.0556
R00012,next-data-kit,2024-08,44286,9262,87030,150,43,95,0.0105
R00012,next-data-kit,2024-09,47273,9177,37928,134,36,88,0.0708
R00012,next-data-kit,2024-10,51046,11859,103748,147,27,102,0.0786
R00012,next-data-kit,2024-11,53975,7825,30102,167,38,102,0.1259
R00012,next-data-kit,2024-12,54222,9904,108712,170,48,81,-0.019
R00012,next-data-kit,2025-01,54230,8666,45392,178,32,106,0.1407
R00012,next-data-kit,2025-02,64221,18885,79653,149,40,97,0.0269
R00012,next-data-kit,2025-03,62579,11952,151344,150,50,105,0.0215
R00012,next-data-kit,2025-04,61936,16511,129729,147,43,97,-0.0036
R00012,next-data-kit,2025-05,67487,13330,41336,155,24,84,0.1166
R00012,next-data-kit,2025-06,69808,6057,50937,151,41,93,-0.015
R00012,next-data-kit,2025-07,74857,11136,39374,165,46,97,0.0991
R00012,next-data-kit,2025-08,77036,5427,140919,166,37,94,0.1184
R01143,audio-base,2024-04,29825,4467,121310,103,17,1564,0.1269
R01143,audio-base,2024-05,32265,9442,98583,99,22,1508,0.1318
R01143,audio-base,2024-05,35353,9407,155130,98,19,1503,0.0205
R01143,audio-base,2024-06,37691,3921,103324,107,21,1386,0.1441
R01143,audio-base,2024-07,40231,10610,109453,117,15,1501,0.11
R01143,audio-base,2024-08,42447,10796,57525,118,22,1505,-0.0165
R01143,audio-base,2024-09,43298,10502,159167,105,8,1478,0.0615
R01143,audio-base,2024-10,48722,13078,106069,118,14,1453,0.0261
R01143,audio-base,2024-11,50231,8049,175547,128,24,1389,-0.0099
R01143,audio-base,2024-12,52744,14462,105325,118,23,1499,0.1142
R01143,audio-base,2025-01,53723,12536,170339,120,13,1485,0.1294
R01143,audio-base,2025-02,62200,10162,168523,112,28,1461,0.0866
R01143,audio-base,2025-03,62727,12314,107378,110,23,1550,-0.0103
R01143,audio-base,2025-04,63853,6211,312623,131,11,1486,0.0593
R01143,audio-base,2025-05,70383,18873,82455,100,20,1531,-0.0029
R01143,audio-base,2025-06,70772,5538,145337,101,20,1478,0.0005
R01143,audio-base,2025-07,72989,21514,246603,135,18,1509,0.1269
R01143,audio-base,2025-08,68243,10914,237633,115,17,1508,0.1054
R00071,rapid-serve,2024-04,29347,8800,270606,83,44,74,0.1247
R00071,rapid-serve,2024-05,31759,6299,146793,76,39,68,0.0037
R00071,rapid-serve,2024-05,34966,10483,335001,98,46,70,0.1154
R00071,rapid-serve,2024-06,36995,2971,269610,83,55,59,0.0488
R00071,rapid-serve,2024-07,41046,2474,338157,80,39,53,0.0686
R00071,rapid-serve,2024-08,44126,9431,210397,83,54,67,0.1097
R00071,rapid-serve,2024-09,45544,13252,351764,85,40,69,0.0069
R00071,rapid-serve,2024-10,45172,12557,216967,86,46,75,0.0967
R00071,rapid-serve,2024-11,49146,14504,262449,79,52,63,0.0715
R00071,rapid-serve,2024-12,53559,10667,464411,81,47,71,0.0076
R00071,rapid-serve,2025-01,53310,5527,526243,89,46,74,0.1389
R00071,rapid-serve,2025-02,60663,18074,493343,99,43,76,0.0806
R00071,rapid-serve,2025-03,59231,8687,673968,102,43,62,-0.0025
R00071,rapid-serve,2025-04,63444,7959,567439,85,48,65,0.1113
R00071,rapid-serve,2025-05,67783,5752,591829,98,58,58,0.0863
R00071,rapid-serve,2025-06,62378,8625,754405,59,59,65,0.0214
R00071,rapid-serve,2025-07,74695,5719,523475,94,48,70,0.0299
R00071,rapid-serve,2025-08,74285,21972,345437,100,44,52,-0.019
R00471,infer-ai,2024-04,29067,2886,71809,137,32,157,0.0907
R00471,infer-ai,2024-05,31358,6231,80644,139,42,162,0.0017
R00471,infer-ai,2024-05,34800,8431,291216,134,36,136,-0.0078
R00471,infer-ai,2024-06,37207,6456,222093,159,40,155,0.0656
R00471,infer-ai,2024-07,39506,4346,224470,152,39,166,0.1281
R00471,infer-ai,2024-08,40621,2778,110984,129,57,176,0.1351
R00471,infer-ai,2024-09,42406,12172,145479,136,39,162,0.0867
R00471,infer-ai,2024-10,46771,12695,220164,149,36,146,-0.0116
R00471,infer-ai,2024-11,51657,3413,417672,127,42,153,0.0288
R00471,infer-ai,2024-12,53277,9355,227748,155,39,175,0.0165
R00471,infer-ai,2025-01,57913,5638,122873,136,52,182,-0.0097
R00471,infer-ai,2025-02,58160,16955,326678,116,36,154,-0.0086
R00471,infer-ai,2025-03,55726,10956,518895,144,48,141,0.0554
R00471,infer-ai,2025-04,60314,9328,332659,162,37,161,0.1401
R00471,infer-ai,2025-05,68157,12900,232697,141,43,139,0.0481
R00471,infer-ai,2025-06,65654,13743,410920,146,37,133,0.0329
R00471,infer-ai,2025-07,70258,5424,174996,140,37,145,0.1341
R00471,infer-ai,2025-08,77321,13840,277016,131,39,148,0.0884
R00362,RCSMA,2024-04,28665,8429,78675,157,38,291,0.1313
R00362,RCSMA,2024-05,31084,3171,64880,136,48,309,0.1331
R00362,RCSMA,2024-05,33877,1962,89665,175,40,288,0.0867
R00362,RCSMA,2024-06,35234,8395,28298,141,36,311,0.1303
R00362,RCSMA,2024-07,40059,6101,64478,129,51,297,0.0044
R00362,RCSMA,2024-08,41176,11851,79732,164,40,310,0.0123
R00362,RCSMA,2024-09,42564,12236,56602,149,52,320,0.025
R00362,RCSMA,2024-10,48645,10549,99535,154,29,307,0.0189
R00362,RCSMA,2024-11,51670,2909,92967,139,36,306,0.103
R00362,RCSMA,2024-12,53774,8944,175152,147,39,300,0.0771
R00362,RCSMA,2025-01,57067,16782,85375,135,37,281,0.1156
R00362,RCSMA,2025-02,56442,9490,156411,137,35,296,-0.0188
R00362,RCSMA,2025-03,56760,11825,63903,130,43,288,0.1407
R00362,RCSMA,2025-04,59646,15060,175455,158,38,276,0.0523
R00362,RCSMA,2025-05,68786,12050,192605,152,36,344,0.0498
R00362,RCSMA,2025-06,61995,6856,142424,149,33,335,0.097
R00362,RCSMA,2025-07,66195,18666,218643,159,40,278,0.0786
R00362,RCSMA,2025-08,74325,4332,201553,134,40,286,0.0902
R01154,smart-search63,2024-04,27698,8056,28845,97,54,185,0.0275
R01154,smart-search63,2024-05,29779,3094,50846,98,52,181,0.083
R01154,smart-search63,2024-05,32154,3677,63104,81,57,190,0.0174
R01154,smart-search63,2024-06,35560,3192,56087,102,59,174,0.1364
R01154,smart-search63,2024-07,37697,3638,26544,83,54,180,0.0606
R01154,smart-search63,2024-08,40157,9091,22605,74,52,202,0.1397
R01154,smart-search63,2024-09,42301,6835,84181,96,68,206,0.1225
R01154,smart-search63,2024-10,43571,5329,81021,81,49,212,0.1207
R01154,smart-search63,2024-11,47505,3193,32577,91,47,199,0.1164
R01154,smart-search63,2024-12,51267,11982,121774,84,63,205,0.0804
R01154,smart-search63,2025-01,48879,14489,109434,102,46,209,0.0249
R01154,smart-search63,2025-02,55078,8549,99052,89,62,185,0.1435
R01154,smart-search63,2025-03,55840,8112,104340,88,64,198,0.0983
R01154,smart-search63,2025-04,61444,8589,56888,106,57,188,0.0459
R01154,smart-search63,2025-05,62972,6452,84485,107,44,162,0.0855
R01154,smart-search63,2025-06,63282,3568,96178,88,49,181,0.0819
R01154,smart-search63,2025-07,66467,8921,86169,86,47,201,0.1488
R01154,smart-search63,2025-08,72441,15981,94141,91,64,204,0.0103
R00250,agent-box,2024-04,27544,4288,35151,94,54,430,0.0693
R00250,agent-box,2024-05,30234,3919,26261,93,62,379,0.0978
R00250,agent-box,2024-05,31987,9074,32952,83,57,385,0.0528
R00250,agent-box,2024-06,33902,6181,42255,77,57,407,0.0266
R00250,agent-box,2024-07,37491,4771,50917,63,60,402,0.0993
R00250,agent-box,2024-08,38605,3719,66784,86,60,395,0.0475
R00250,agent-box,2024-09,43699,2856,27817,97,56,418,-0.0027
R00250,agent-box,2024-10,44976,9928,59042,87,53,423,0.0798
R00250,agent-box,2024-11,44978,4617,34471,100,54,382,0.1318
R00250,agent-box,2024-12,46861,11682,49919,79,55,375,0.0343
R00250,agent-box,2025-01,50605,8887,40376,82,58,421,0.0353
R00250,agent-box,2025-02,50436,3888,41125,66,61,422,0.1335
R00250,agent-box,2025-03,53329,6872,28605,81,59,413,0.0564
R00250,agent-box,2025-04,55816,14478,46627,64,55,397,0.1115
R00250,agent-box,2025-05,65859,12923,94841,91,49,410,0.0015
R00250,agent-box,2025-06,63595,14801,104283,85,50,387,0.0591
R00250,agent-box,2025-07,69814,15779,44531,84,51,443,0.0039
R00250,agent-box,2025-08,63711,7378,72243,88,45,410,0.1134
R00156,trainwave,2024-04,26992,7304,95903,62,11,143,0.0305
R00156,trainwave,2024-05,29713,6704,49286,61,15,161,0.1186
R00156,trainwave,2024-05,31370,1948,122633,56,13,159,0.0264
R00156,trainwave,2024-06,33174,4754,155786,62,16,149,0.0712
R00156,trainwave,2024-07,36815,8790,149464,63,16,146,0.037
R00156,trainwave,2024-08,38365,2794,67791,53,21,158,0.1139
R00156,trainwave,2024-09,39353,3901,81837,52,11,174,0.0873
R00156,trainwave,2024-10,42819,8068,96393,57,11,177,0.1326
R00156,trainwave,2024-11,43641,5988,173964,63,18,149,0.0826
R00156,trainwave,2024-12,47529,7650,230829,58,22,156,0.1326
R00156,trainwave,2025-01,48790,10205,256310,60,14,152,0.1411
R00156,trainwave,2025-02,49389,12644,100141,60,12,161,0.0926
R00156,trainwave,2025-03,54211,7417,247036,57,16,169,0.0509
R00156,trainwave,2025-04,62550,5436,221997,73,21,153,0.047
R00156,trainwave,2025-05,62432,5427,277288,63,15,163,0.108
R00156,trainwave,2025-06,60610,7225,207661,52,15,155,0.0709
R00156,trainwave,2025-07,70169,4891,229423,69,13,161,0.1103
R00156,trainwave,2025-08,66183,10588,245250,60,20,144,0.0059
R00696,train-ml,2024-04,24503,6143,558091,86,32,47,0.0391
R00696,train-ml,2024-05,26684,5397,646204,72,17,58,0.0332
R00696,train-ml,2024-05,28339,4382,1027943,61,30,66,0.1277
R00696,train-ml,2024-06,30091,2600,521153,63,20,61,0.0162
R00696,train-ml,2024-07,33499,2983,435367,79,27,66,-0.0034
R00696,train-ml,2024-08,35747,2643,665878,65,24,57,0.062
R00696,train-ml,2024-09,36485,7487,905735,58,34,66,0.0575
R00696,train-ml,2024-10,40757,7981,521626,63,22,55,0.1061
R00696,train-ml,2024-11,43538,11794,870013,63,36,60,0.1413
R00696,train-ml,2024-12,43491,11053,737825,62,36,61,0.0457
R00696,train-ml,2025-01,44124,12839,1770961,73,17,51,0.1214
R00696,train-ml,2025-02,45364,6284,1855314,72,31,47,0.0426
R00696,train-ml,2025-03,49753,12207,429480,71,16,63,0.0743
