repo_id,repo_name,dependency_name,dependency_type,is_ml_library
R00019,easy-audio-js,dask,optional,False
R00020,rlbox,transformers,dev,True
R00020,rlbox,langchain,dev,False
R00020,rlbox,peft,optional,True
R00020,rlbox,ray,core,False
R00020,rlbox,pandas,core,False
R00020,rlbox,mlflow,core,False
R00021,poly-prompt-cpp,vllm,core,True
R00021,poly-prompt-cpp,wandb,optional,False
R00021,poly-prompt-cpp,torch,dev,True
R00021,poly-prompt-cpp,bitsandbytes,core,True
R00022,auto-grad-ai,candle,dev,True
R00022,auto-grad-ai,anyhow,dev,False
R00022,auto-grad-ai,clap,optional,False
R00023,tokenpulse,dep-12,optional,False
R00023,tokenpulse,dep-32,optional,False
R00024,micro-opt-cpp,torch,core,True
R00024,micro-opt-cpp,click,dev,False
R00024,micro-opt-cpp,flask,core,False
R00024,micro-opt-cpp,aiohttp,optional,False
R00024,micro-opt-cpp,llama-index,optional,False
R00024,micro-opt-cpp,vllm,optional,True
R00024,micro-opt-cpp,scikit-learn,core,True
R00025,mini-model-py,dep-3,core,False
R00025,mini-model-py,dep-3,optional,False
R00025,mini-model-py,dep-24,core,False
R00025,mini-model-py,dep-10,optional,False
R00026,swift-code,dep-23,dev,False
R00026,swift-code,dep-30,optional,False
R00026,swift-code,dep-42,dev,False
R00027,JSTB,faiss,core,False
R00027,JSTB,chromadb,dev,False
R00027,JSTB,pandas,core,False
R00027,JSTB,mlflow,optional,False
R00028,rapid-net,ray,core,False
R00028,rapid-net,faiss,core,False
R00028,rapid-net,optax,dev,True
R00029,diff-craft,prisma,core,False
R00029,diff-craft,langchain,dev,False
R00029,diff-craft,axios,core,False
R00030,lite-agent,dep-31,dev,False
R00030,lite-agent,dep-47,core,False
R00030,lite-agent,dep-48,core,False
R00030,lite-agent,dep-47,core,False
R00031,RNC,dep-5,core,False
R00031,RNC,dep-1,core,False
R00031,RNC,dep-39,core,False
R00031,RNC,dep-49,dev,False
R00032,uni-doc-craft,llama-index,core,False
R00032,uni-doc-craft,tiktoken,dev,False
R00032,uni-doc-craft,rich,dev,False
R00032,uni-doc-craft,mlflow,core,False
R00032,uni-doc-craft,httpx,core,False
R00032,uni-doc-craft,faiss,core,False
R00033,prune-craft,redis,dev,False
R00033,prune-craft,transformers,dev,True
R00033,prune-craft,faiss,core,False
R00033,prune-craft,flask,core,False
R00034,code-rs,dep-27,dev,False
R00034,code-rs,dep-28,dev,False
R00035,HOU,dep-3,dev,False
R00035,HOU,dep-12,core,False
R00035,HOU,dep-15,dev,False
R00035,HOU,dep-13,dev,False
R00036,flex-tune,langchain,dev,False
R00036,flex-tune,react,dev,False
R00036,flex-tune,tailwindcss,dev,False
R00036,flex-tune,express,dev,False
R00037,omni-guard-ml,dep-10,core,False
R00037,omni-guard-ml,dep-27,core,False
R00037,omni-guard-ml,dep-30,optional,False
R00038,genstudio,jax,optional,True
R00038,genstudio,qdrant-client,core,False
R00038,genstudio,sentencepiece,core,False
R00039,gpt-ml,dep-47,core,False
R00039,gpt-ml,dep-21,dev,False
R00039,gpt-ml,dep-8,optional,False
R00039,gpt-ml,dep-1,optional,False
R00040,multi-token,vllm,core,True
R00040,multi-token,datasets,dev,True
R00040,multi-token,scipy,dev,False
R00040,multi-token,optax,core,True
R00040,multi-token,llama-index,core,False
R00041,opt-ai,dep-6,optional,False
R00041,opt-ai,dep-45,core,False
R00042,easy-bert-ml,polars,optional,False
R00042,easy-bert-ml,tiktoken,core,False
R00042,easy-bert-ml,chromadb,optional,False
R00042,easy-bert-ml,httpx,core,False
R00042,easy-bert-ml,pydantic,core,False
R00042,easy-bert-ml,redis,optional,False
R00042,easy-bert-ml,dask,dev,False
R00042,easy-bert-ml,llama-index,dev,False
R00043,netflow,rich,dev,False
R00043,netflow,llama-index,core,False
R00043,netflow,wandb,dev,False
R00043,netflow,transformers,optional,True
R00043,netflow,flax,dev,True
R00043,netflow,mlflow,core,False
R00044,LDSQ,dep-7,optional,False
R00044,LDSQ,dep-46,core,False
R00045,hyper-infer,express,core,False
R00045,hyper-infer,zod,dev,False
R00046,LND,sqlalchemy,core,False
R00046,LND,flax,optional,True
R00046,LND,peft,core,True
R00046,LND,mlflow,dev,False
R00046,LND,llama-index,core,False
R00046,LND,fastapi,optional,False
R00046,LND,pandas,core,False
R00047,smart-bert,typer,dev,False
R00047,smart-bert,bitsandbytes,core,True
R00047,smart-bert,accelerate,core,True
R00047,smart-bert,scipy,optional,False
R00048,audio-stack,httpx,dev,False
R00048,audio-stack,rich,optional,False
R00048,audio-stack,jax,core,True
R00049,guard-x,rayon,core,False
R00049,guard-x,burn,dev,True
R00049,guard-x,anyhow,dev,False
R00050,QEBO,dep-45,dev,False
R00050,QEBO,dep-20,optional,False
R00050,QEBO,dep-13,core,False
R00051,swift-infer,dep-37,optional,False
R00052,infer-x,fastapi,dev,False
R00052,infer-x,jax,dev,True
R00052,infer-x,sqlalchemy,core,False
R00052,infer-x,celery,optional,False
R00053,doc-base,gradio,core,False
R00053,doc-base,scikit-learn,core,True
R00053,doc-base,tiktoken,dev,False
R00053,doc-base,numpy,optional,False
R00053,doc-base,click,optional,False
R00053,doc-base,einops,optional,False
R00053,doc-base,torch,core,True
R00054,bench-x,celery,optional,False
R00054,bench-x,aiohttp,optional,False
R00054,bench-x,langchain,dev,False
R00054,bench-x,sentencepiece,dev,False
R00054,bench-x,transformers,optional,True
R00054,bench-x,einops,core,False
R00055,micro-graph,polars,dev,False
R00055,micro-graph,chromadb,optional,False
R00055,micro-graph,einops,core,False
R00055,micro-graph,dask,dev,False
R00055,micro-graph,scipy,optional,False
R00056,FVVC,langchain,optional,False
R00056,FVVC,redis,core,False
R00056,FVVC,pandas,core,False
R00057,UFYV,dep-47,core,False
R00057,UFYV,dep-24,dev,False
R00057,UFYV,dep-38,optional,False
R00058,omni-token,vllm,optional,True
R00058,omni-token,httpx,dev,False
R00058,omni-token,redis,core,False
R00058,omni-token,tensorflow,optional,True
R00058,omni-token,datasets,optional,True
R00058,omni-token,aiohttp,optional,False
R00058,omni-token,polars,dev,False
R00058,omni-token,rich,optional,False
R00059,pro-bench-cpp,scipy,dev,False
R00059,pro-bench-cpp,polars,dev,False
R00059,pro-bench-cpp,ray,core,False
R00059,pro-bench-cpp,qdrant-client,optional,False
R00060,QLM,langchain,core,False
R00060,QLM,httpx,optional,False
R00060,QLM,dask,dev,False
R00060,QLM,tiktoken,dev,False
R00061,JJFWW,dep-1,dev,False
R00061,JJFWW,dep-37,core,False
R00061,JJFWW,dep-17,core,False
R00062,meta-audio-core,dep-35,core,False
R00062,meta-audio-core,dep-42,optional,False
R00062,meta-audio-core,dep-21,optional,False
R00062,meta-audio-core,dep-28,core,False
R00063,gen-cpp,fastapi,core,False
R00063,gen-cpp,llama-index,optional,False
R00063,gen-cpp,streamlit,optional,False
R00063,gen-cpp,flax,dev,True
R00063,gen-cpp,pandas,optional,False
R00064,tensorspark,tensorflow,optional,True
R00064,tensorspark,fastapi,core,False
R00064,tensorspark,vllm,dev,True
R00064,tensorspark,optax,core,True
R00064,tensorspark,accelerate,optional,True
R00064,tensorspark,pandas,optional,False
R00064,tensorspark,faiss,core,False
R00064,tensorspark,chromadb,optional,False
R00065,serve-forge,langchain,optional,False
R00065,serve-forge,numpy,dev,False
R00065,serve-forge,vllm,core,True
R00065,serve-forge,tensorflow,core,True
R00066,tokenml,httpx,optional,False
R00066,tokenml,flask,optional,False
R00066,tokenml,datasets,optional,True
R00066,tokenml,jax,optional,True
R00066,tokenml,streamlit,dev,False
R00066,tokenml,peft,dev,True
R00066,tokenml,pandas,dev,False
R00066,tokenml,ray,dev,False
R00067,embed-base,torch,core,True
R00067,embed-base,transformers,core,True
R00067,embed-base,click,core,False
R00067,embed-base,llama-index,optional,False
R00067,embed-base,tiktoken,dev,False
R00067,embed-base,flask,dev,False
R00067,embed-base,polars,optional,False
R00067,embed-base,accelerate,optional,True
R00068,IUZY,tch-rs,core,True
R00068,IUZY,rayon,optional,False
R00068,IUZY,tokio,dev,False
R00068,IUZY,burn,optional,True
R00068,IUZY,anyhow,dev,False
R00069,RKV,langchain,core,False
R00069,RKV,fastapi,dev,False
R00069,RKV,llama-index,core,False
R00069,RKV,streamlit,core,False
R00069,RKV,gradio,dev,False
R00070,RMMLY,redis,optional,False
R00070,RMMLY,langchain,optional,False
R00070,RMMLY,tiktoken,core,False
R00070,RMMLY,rich,dev,False
R00070,RMMLY,peft,core,True
R00071,rapid-serve,datasets,core,True
R00071,rapid-serve,ray,dev,False
R00072,open-doc,click,core,False
R00072,open-doc,peft,dev,True
R00072,open-doc,flax,optional,True
R00072,open-doc,qdrant-client,core,False
R00072,open-doc,sentencepiece,optional,False
R00073,deep-tune-spark,fastapi,optional,False
R00073,deep-tune-spark,datasets,dev,True
R00073,deep-tune-spark,sqlalchemy,dev,False
R00074,merge-kit,einops,optional,False
R00074,merge-kit,chromadb,optional,False
R00074,merge-kit,redis,optional,False
R00074,merge-kit,dask,dev,False
R00074,merge-kit,faiss,optional,False
R00075,grad-base,typer,optional,False
R00075,grad-base,aiohttp,optional,False
R00075,grad-base,bitsandbytes,optional,True
R00075,grad-base,redis,dev,False
R00075,grad-base,dask,core,False
R00075,grad-base,polars,core,False
R00076,train-pulse,dep-10,core,False
R00076,train-pulse,dep-50,optional,False
R00076,train-pulse,dep-3,core,False
R00077,rlops,polars,dev,False
R00077,rlops,sqlalchemy,optional,False
R00078,rl-py,candle,dev,True
R00078,rl-py,rayon,core,False
R00079,cross-eval-flow,transformers,core,True
R00079,cross-eval-flow,langchain,dev,False
R00079,cross-eval-flow,flax,core,True
R00079,cross-eval-flow,llama-index,optional,False
R00079,cross-eval-flow,faiss,core,False
R00079,cross-eval-flow,httpx,core,False
R00080,optwave,dep-16,optional,False
R00081,LJILQ,langchain,dev,False
R00081,LJILQ,axios,optional,False
R00081,LJILQ,react,core,False
R00081,LJILQ,prisma,optional,False
R00081,LJILQ,openai,optional,False
R00082,quantcore,sentencepiece,dev,False
R00082,quantcore,dask,optional,False
R00082,quantcore,celery,core,False
R00082,quantcore,redis,core,False
R00082,quantcore,mlflow,core,False
R00082,quantcore,langchain,optional,False
R00082,quantcore,pydantic,optional,False
R00083,open-rl,dep-50,dev,False
R00083,open-rl,dep-36,dev,False
R00083,open-rl,dep-32,optional,False
R00084,doc-spark,fastapi,optional,False
R00084,doc-spark,pydantic,core,False
R00085,open-graph-craft,reqwest,core,False
R00085,open-graph-craft,burn,dev,True
R00085,open-graph-craft,tch-rs,core,True
R00085,open-graph-craft,ndarray,optional,False
R00085,open-graph-craft,candle,core,True
R00086,omni-guard-base,flask,dev,False
R00086,omni-guard-base,qdrant-client,dev,False
R00086,omni-guard-base,llama-index,core,False
R00086,omni-guard-base,celery,core,False
R00086,omni-guard-base,transformers,optional,True
R00086,omni-guard-base,einops,optional,False
R00086,omni-guard-base,tiktoken,dev,False
R00086,omni-guard-base,accelerate,optional,True
R00087,bench-core,einops,optional,False
R00087,bench-core,dask,dev,False
R00087,bench-core,torch,optional,True
R00087,bench-core,wandb,core,False
R00087,bench-core,llama-index,dev,False
R00087,bench-core,sentencepiece,dev,False
R00087,bench-core,datasets,core,True
R00088,hyper-bench,flask,core,False
R00088,hyper-bench,typer,dev,False
R00089,GPKFM,dep-14,optional,False
R00089,GPKFM,dep-23,optional,False
R00089,GPKFM,dep-16,core,False
R00090,quantkit,mlflow,dev,False
R00090,quantkit,datasets,core,True
R00091,VUMYK,openai,optional,False
R00091,VUMYK,express,dev,False
R00091,VUMYK,react,optional,False
R00092,vectorbase,httpx,optional,False
R00092,vectorbase,polars,optional,False
R00093,gradflow,dep-29,dev,False
R00093,gradflow,dep-42,core,False
R00093,gradflow,dep-23,optional,False
R00094,search-hub,httpx,optional,False
R00094,search-hub,langchain,dev,False
R00094,search-hub,scikit-learn,dev,True
R00094,search-hub,flax,core,True
R00095,evalcore,peft,optional,True
R00095,evalcore,bitsandbytes,optional,True
R00095,evalcore,wandb,dev,False
R00095,evalcore,chromadb,dev,False
R00095,evalcore,pandas,core,False
R00095,evalcore,jax,core,True
R00095,evalcore,click,optional,False
R00095,evalcore,celery,core,False
R00096,easy-agent,zod,dev,False
R00096,easy-agent,express,optional,False
R00097,super-eval,dep-17,dev,False
R00097,super-eval,dep-40,optional,False
R00097,super-eval,dep-13,core,False
R00097,super-eval,dep-23,core,False
R00098,vectorx,scikit-learn,core,True
R00098,vectorx,peft,optional,True
R00099,deep-token-cpp,qdrant-client,optional,False
R00099,deep-token-cpp,faiss,optional,False
R00099,deep-token-cpp,flax,core,True
R00099,deep-token-cpp,fastapi,dev,False
R00099,deep-token-cpp,aiohttp,dev,False
R00099,deep-token-cpp,gradio,dev,False
R00100,mini-prompt,dep-34,optional,False
R00100,mini-prompt,dep-20,optional,False
R00101,MLNKZ,scikit-learn,dev,True
R00101,MLNKZ,transformers,optional,True
R00102,quant-pulse,scipy,dev,False
R00102,quant-pulse,httpx,core,False
R00102,quant-pulse,typer,optional,False
R00102,quant-pulse,tiktoken,core,False
R00102,quant-pulse,dask,dev,False
R00103,textpulse,streamlit,dev,False
R00103,textpulse,polars,dev,False
R00103,textpulse,pydantic,dev,False
R00103,textpulse,typer,dev,False
R00104,model-ai,numpy,core,False
R00104,model-ai,pydantic,dev,False
R00104,model-ai,fastapi,optional,False
R00105,fast-quant-craft,dep-25,optional,False
R00105,fast-quant-craft,dep-40,core,False
R00105,fast-quant-craft,dep-46,core,False
R00106,mini-eval-forge,redis,core,False
R00106,mini-eval-forge,langchain,optional,False
R00106,mini-eval-forge,rich,dev,False
R00106,mini-eval-forge,numpy,core,False
R00106,mini-eval-forge,datasets,dev,True
R00106,mini-eval-forge,transformers,dev,True
R00106,mini-eval-forge,einops,dev,False
R00107,swift-quant-py,faiss,dev,False
R00107,swift-quant-py,mlflow,dev,False
R00108,textcraft,torch,core,True
R00108,textcraft,qdrant-client,dev,False
R00108,textcraft,flax,optional,True
R00108,textcraft,faiss,dev,False
R00108,textcraft,redis,core,False
R00108,textcraft,peft,dev,True
R00108,textcraft,tensorflow,core,True
R00109,modelbox,flask,optional,False
R00109,modelbox,tensorflow,core,True
R00109,modelbox,sqlalchemy,optional,False
R00109,modelbox,qdrant-client,core,False
R00110,DOD,express,dev,False
R00110,DOD,vercel-ai-sdk,optional,False
R00111,easy-vision,datasets,dev,True
R00111,easy-vision,mlflow,core,False
R00112,flash-vector,dep-33,dev,False
R00112,flash-vector,dep-3,dev,False
R00112,flash-vector,dep-39,optional,False
R00112,flash-vector,dep-22,core,False
R00113,LFFH,dep-18,core,False
R00113,LFFH,dep-8,optional,False
R00113,LFFH,dep-13,core,False
R00114,cross-flow-forge,dep-26,core,False
R00114,cross-flow-forge,dep-24,optional,False
R00114,cross-flow-forge,dep-47,dev,False
R00114,cross-flow-forge,dep-1,optional,False
R00115,TZLHV,tensorflow,optional,True
R00115,TZLHV,mlflow,dev,False
R00115,TZLHV,optax,optional,True
R00115,TZLHV,wandb,dev,False
R00115,TZLHV,vllm,optional,True
R00115,TZLHV,fastapi,core,False
R00115,TZLHV,einops,optional,False
R00115,TZLHV,scikit-learn,core,True
R00116,hyper-text-spark,mlflow,optional,False
R00116,hyper-text-spark,pydantic,core,False
R00116,hyper-text-spark,typer,optional,False
R00116,hyper-text-spark,llama-index,optional,False
R00116,hyper-text-spark,faiss,core,False
R00116,hyper-text-spark,streamlit,optional,False
R00116,hyper-text-spark,transformers,dev,True
R00117,nano-bert,langchain,dev,False
R00117,nano-bert,llama-index,optional,False
R00117,nano-bert,chromadb,core,False
R00118,mini-data-ml,fastapi,core,False
R00118,mini-data-ml,rich,optional,False
R00118,mini-data-ml,numpy,dev,False
R00118,mini-data-ml,transformers,optional,True
R00119,guard-ml,dep-37,core,False
R00119,guard-ml,dep-38,dev,False
R00119,guard-ml,dep-13,core,False
R00119,guard-ml,dep-38,dev,False
R00120,deep-tune-ml,dep-10,core,False
R00120,deep-tune-ml,dep-1,optional,False
R00120,deep-tune-ml,dep-8,core,False
R00121,dyna-chat-stack,openai,core,False
R00121,dyna-chat-stack,zod,core,False
R00122,flash-infer-wave,dep-40,optional,False
R00123,graphflow,typer,dev,False
R00123,graphflow,qdrant-client,dev,False
R00123,graphflow,optax,optional,True
R00123,graphflow,accelerate,dev,True
R00123,graphflow,llama-index,optional,False
R00123,graphflow,peft,core,True
R00123,graphflow,jax,optional,True
R00124,mini-token,clap,core,False
R00124,mini-token,candle,optional,True
R00124,mini-token,serde,dev,False
R00125,flow-wave,dep-43,dev,False
R00125,flow-wave,dep-21,dev,False
R00125,flow-wave,dep-39,dev,False
R00125,flow-wave,dep-7,optional,False
R00126,simple-audio,langchain,core,False
R00126,simple-audio,fastapi,core,False
R00126,simple-audio,wandb,core,False
R00126,simple-audio,httpx,core,False
R00126,simple-audio,gradio,optional,False
R00126,simple-audio,faiss,dev,False
R00126,simple-audio,pandas,core,False
R00127,swift-diff,dep-7,dev,False
R00127,swift-diff,dep-23,optional,False
R00128,vector-rs,burn,optional,True
R00128,vector-rs,tch-rs,dev,True
R00128,vector-rs,candle,optional,True
R00129,dyna-flow-x,dep-47,core,False
R00130,bert-spark,sqlalchemy,dev,False
R00130,bert-spark,jax,dev,True
R00130,bert-spark,pydantic,core,False
R00131,train-py,dep-50,core,False
R00131,train-py,dep-11,core,False
R00132,multi-distill,redis,dev,False
R00132,multi-distill,sqlalchemy,dev,False
R00132,multi-distill,streamlit,core,False
R00132,multi-distill,bitsandbytes,dev,True
R00133,open-text,tailwindcss,optional,False
R00133,open-text,react,core,False
R00133,open-text,zod,optional,False
R00133,open-text,express,optional,False
R00133,open-text,langchain,optional,False
R00134,embed-studio,llama-index,core,False
R00134,embed-studio,bitsandbytes,optional,True
R00134,embed-studio,datasets,optional,True
R00134,embed-studio,optax,dev,True
R00134,embed-studio,jax,dev,True
R00134,embed-studio,sentencepiece,core,False
R00134,embed-studio,typer,core,False
R00135,YLTA,einops,core,False
R00135,YLTA,mlflow,dev,False
R00136,AUF,torch,optional,True
R00136,AUF,pandas,optional,False
R00136,AUF,redis,optional,False
R00136,AUF,aiohttp,optional,False
R00136,AUF,scipy,dev,False
R00136,AUF,dask,core,False
R00136,AUF,tensorflow,dev,True
R00136,AUF,faiss,dev,False
R00137,gptbox,ndarray,dev,False
R00137,gptbox,tch-rs,dev,True
R00137,gptbox,candle,dev,True
R00138,poly-net,optax,optional,True
R00138,poly-net,bitsandbytes,optional,True
R00139,safespark,llama-index,dev,False
R00139,safespark,pydantic,optional,False
R00139,safespark,datasets,optional,True
R00140,nano-guard-kit,celery,optional,False
R00140,nano-guard-kit,llama-index,core,False
R00140,nano-guard-kit,vllm,optional,True
R00140,nano-guard-kit,wandb,optional,False
R00140,nano-guard-kit,pydantic,core,False
R00140,nano-guard-kit,qdrant-client,dev,False
R00140,nano-guard-kit,scikit-learn,optional,True
R00141,SSVW,qdrant-client,optional,False
R00141,SSVW,streamlit,optional,False
R00141,SSVW,tiktoken,dev,False
R00142,tensorstack,pandas,dev,False
R00142,tensorstack,sentencepiece,dev,False
R00142,tensorstack,scipy,optional,False
R00142,tensorstack,click,core,False
R00142,tensorstack,pydantic,core,False
R00142,tensorstack,celery,optional,False
R00143,easy-flow-spark,chromadb,optional,False
R00143,easy-flow-spark,dask,dev,False
R00143,easy-flow-spark,llama-index,optional,False
R00143,easy-flow-spark,redis,optional,False
R00143,easy-flow-spark,tensorflow,optional,True
R00143,easy-flow-spark,transformers,core,True
R00144,quick-net-lib,transformers,dev,True
R00144,quick-net-lib,httpx,core,False
R00144,quick-net-lib,wandb,dev,False
R00144,quick-net-lib,redis,optional,False
R00144,quick-net-lib,typer,core,False
R00144,quick-net-lib,tiktoken,dev,False
R00144,quick-net-lib,torch,dev,True
R00145,flash-model-ops,dep-1,optional,False
R00145,flash-model-ops,dep-47,dev,False
R00145,flash-model-ops,dep-36,optional,False
R00146,bert-core,reqwest,dev,False
R00146,bert-core,rayon,dev,False
R00146,bert-core,burn,dev,True
R00146,bert-core,anyhow,optional,False
R00147,JYO,flax,core,True
R00147,JYO,flask,dev,False
R00147,JYO,tensorflow,optional,True
R00147,JYO,redis,dev,False
R00147,JYO,bitsandbytes,core,True
R00148,CJGXX,sqlalchemy,core,False
R00148,CJGXX,vllm,dev,True
R00148,CJGXX,click,optional,False
R00148,CJGXX,ray,dev,False
R00148,CJGXX,chromadb,dev,False
R00148,CJGXX,streamlit,core,False
R00149,nano-lab,httpx,optional,False
R00149,nano-lab,scipy,core,False
R00149,nano-lab,wandb,dev,False
R00150,poly-doc-base,dep-7,core,False
R00150,poly-doc-base,dep-38,optional,False
R00150,poly-doc-base,dep-27,optional,False
R00151,netcraft,fastapi,dev,False
R00151,netcraft,scikit-learn,dev,True
R00151,netcraft,pandas,dev,False
R00151,netcraft,chromadb,dev,False
R00152,micro-token,dep-44,core,False
R00153,distill-ops,dep-15,optional,False
R00153,distill-ops,dep-26,optional,False
R00153,distill-ops,dep-49,core,False
R00153,distill-ops,dep-23,dev,False
R00154,mini-gpt,tch-rs,dev,True
R00154,mini-gpt,serde,core,False
R00155,ZSY,dep-10,core,False
R00155,ZSY,dep-10,dev,False
R00155,ZSY,dep-16,optional,False
R00155,ZSY,dep-17,dev,False
R00156,trainwave,dep-3,core,False
R00156,trainwave,dep-46,core,False
R00156,trainwave,dep-13,optional,False
R00156,trainwave,dep-44,optional,False
R00157,NIGAW,flask,core,False
R00157,NIGAW,peft,dev,True
R00158,rapid-gen-base,langchain,optional,False
R00158,rapid-gen-base,ai,optional,False
R00159,optflow,celery,core,False
R00159,optflow,ray,core,False
R00159,optflow,typer,core,False
R00159,optflow,einops,dev,False
R00159,optflow,wandb,optional,False
R00159,optflow,flask,dev,False
R00160,mini-llm-lib,dep-16,core,False
R00160,mini-llm-lib,dep-49,core,False
R00160,mini-llm-lib,dep-32,dev,False
R00160,mini-llm-lib,dep-14,optional,False
R00161,prunehub,dep-16,core,False
R00161,prunehub,dep-7,optional,False
R00162,deep-prompt-pulse,jax,optional,True
R00162,deep-prompt-pulse,streamlit,dev,False
R00162,deep-prompt-pulse,redis,optional,False
R00162,deep-prompt-pulse,torch,core,True
R00162,deep-prompt-pulse,optax,core,True
R00162,deep-prompt-pulse,mlflow,core,False
R00163,net-py,bitsandbytes,optional,True
R00163,net-py,scikit-learn,core,True
R00163,net-py,accelerate,optional,True
R00163,net-py,pandas,core,False
R00163,net-py,redis,core,False
R00163,net-py,flax,core,True
R00163,net-py,typer,core,False
R00163,net-py,dask,optional,False
R00164,diff-kit,dep-20,optional,False
R00164,diff-kit,dep-5,dev,False
R00165,hyper-quant-flow,bitsandbytes,dev,True
R00165,hyper-quant-flow,transformers,core,True
R00166,micro-gen-craft,dep-34,dev,False
R00166,micro-gen-craft,dep-17,core,False
R00167,YXOC,dep-41,dev,False
R00167,YXOC,dep-36,optional,False
R00167,YXOC,dep-31,optional,False
R00167,YXOC,dep-35,core,False
R00168,evallib,dep-49,dev,False
R00168,evallib,dep-5,optional,False
R00169,tensor-js,dep-1,core,False
R00169,tensor-js,dep-14,dev,False
R00169,tensor-js,dep-43,core,False
R00169,tensor-js,dep-9,optional,False
R00170,rlrs,datasets,dev,True
R00170,rlrs,sqlalchemy,core,False
R00170,rlrs,aiohttp,core,False
R00170,rlrs,typer,core,False
R00171,tuners,dask,dev,False
R00171,tuners,tensorflow,core,True
R00171,tuners,scipy,core,False
R00171,tuners,pandas,core,False
R00171,tuners,rich,optional,False
R00172,nano-chat,fastapi,dev,False
R00172,nano-chat,httpx,dev,False
R00172,nano-chat,redis,optional,False
R00172,nano-chat,mlflow,dev,False
R00173,poly-tensor,typer,optional,False
R00173,poly-tensor,flask,core,False
R00173,poly-tensor,torch,optional,True
R00173,poly-tensor,sentencepiece,dev,False
R00173,poly-tensor,gradio,dev,False
R00173,poly-tensor,faiss,optional,False
R00174,bench-forge,flask,optional,False
R00174,bench-forge,transformers,optional,True
R00174,bench-forge,datasets,optional,True
R00174,bench-forge,polars,optional,False
R00174,bench-forge,tensorflow,optional,True
R00175,super-quant,langchain,optional,False
R00175,super-quant,openai,dev,False
R00175,super-quant,ai,dev,False
R00175,super-quant,tailwindcss,core,False
R00175,super-quant,axios,core,False
R00176,FCQEO,sentencepiece,core,False
R00176,FCQEO,tiktoken,optional,False
R00176,FCQEO,tensorflow,optional,True
R00176,FCQEO,flask,core,False
R00176,FCQEO,aiohttp,optional,False
R00176,FCQEO,bitsandbytes,dev,True
R00177,CBEFB,qdrant-client,core,False
R00177,CBEFB,streamlit,dev,False
R00177,CBEFB,scipy,dev,False
R00177,CBEFB,click,core,False
R00177,CBEFB,accelerate,optional,True
R00177,CBEFB,sentencepiece,dev,False
R00177,CBEFB,celery,dev,False
